,playerId,name,team,position,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
26,8477234,Troy Grosenick,S.J,G,2,7102.0,4.85,3.0,116.0,4.14,10.0,15.85,14.0,62.51,58.0,1.72,3.0,35.54,36.0,24.47,24.0,4.47,69.0,14.0,4.0,2.07,1.8,0.98,2.0,1.0,0.0,29.0,0.0,0.0
31,8475831,Philipp Grubauer,WSH,G,1,3900.0,2.06,2.0,51.0,1.62,2.0,5.48,8.0,23.6,25.0,1.07,4.0,13.26,11.0,9.8,10.0,2.04,27.0,3.0,3.0,0.7,0.35,1.01,1.0,0.0,1.0,18.0,0.0,0.0
36,8474596,Jake Allen,STL,G,37,124608.0,79.64,79.0,1771.0,63.13,65.0,211.61,242.0,921.69,909.0,33.03,35.0,513.97,372.0,376.98,474.0,76.7,973.0,229.0,73.0,28.36,26.86,24.42,34.0,26.0,19.0,496.0,2.0,1.0
41,8474651,Braden Holtby,WSH,G,73,253649.0,175.45,157.0,3930.0,142.49,123.0,463.09,537.0,2050.99,2044.0,66.49,80.0,1148.02,932.0,856.26,1045.0,168.75,2152.0,539.0,160.0,60.6,64.46,50.39,64.0,39.0,54.0,1079.0,2.0,1.0
46,8473499,Reto Berra,COL,G,19,43707.0,34.8,33.0,748.0,26.87,32.0,85.69,92.0,387.4,403.0,10.7,7.0,215.78,188.0,164.54,181.0,33.41,395.0,118.0,27.0,11.41,13.97,9.41,8.0,17.0,8.0,208.0,0.0,0.0
51,8474765,Anders Lindback,BUF,G,26,84478.0,61.78,73.0,1494.0,51.93,35.0,178.94,181.0,776.77,798.0,22.18,24.0,441.67,360.0,328.63,403.0,60.03,845.0,202.0,41.0,24.02,23.44,14.32,26.0,26.0,21.0,406.0,4.0,2.0
56,8466141,Roberto Luongo,FLA,G,61,211391.0,142.0,138.0,3056.0,114.57,115.0,385.73,447.0,1671.76,1743.0,54.63,64.0,950.0,730.0,713.01,856.0,137.03,1809.0,432.0,121.0,49.32,51.53,41.15,48.0,49.0,41.0,694.0,0.0,0.0
61,8475852,Petr Mrazek,DET,G,29,95102.0,64.66,63.0,1299.0,50.42,50.0,166.81,169.0,737.97,768.0,23.08,29.0,415.71,310.0,302.55,407.0,62.58,788.0,174.0,62.0,23.63,20.86,20.17,21.0,20.0,22.0,275.0,0.0,0.0
66,8468011,Ryan Miller,VAN,G,45,152491.0,104.87,107.0,2298.0,83.78,76.0,276.62,299.0,1209.05,1199.0,38.16,47.0,680.72,539.0,501.11,618.0,101.16,1265.0,335.0,87.0,37.42,40.79,26.65,46.0,32.0,29.0,611.0,0.0,0.0
71,8471679,Carey Price,MTL,G,66,238593.0,163.16,130.0,3873.0,133.31,133.0,448.74,461.0,1941.79,1953.0,59.1,84.0,1086.9,915.0,813.27,989.0,158.96,2075.0,491.0,144.0,57.84,59.11,46.21,44.0,41.0,45.0,1163.0,4.0,2.0
76,8466339,Scott Clemmensen,N.J,G,3,6095.0,6.25,8.0,89.0,4.12,2.0,11.38,11.0,53.57,54.0,1.33,0.0,27.24,28.0,19.18,19.0,6.07,42.0,21.0,7.0,1.78,2.7,1.77,3.0,1.0,4.0,19.0,0.0,0.0
81,8476316,Laurent Brossoit,EDM,G,1,3576.0,6.42,2.0,94.0,3.64,11.0,12.39,9.0,51.68,51.0,0.86,2.0,25.63,19.0,20.19,28.0,5.86,37.0,24.0,9.0,1.01,3.08,2.34,0.0,2.0,0.0,24.0,0.0,0.0
86,8476876,Malcolm Subban,BOS,G,1,1875.0,0.68,3.0,18.0,0.63,0.0,2.42,0.0,9.97,6.0,0.44,0.0,5.64,4.0,4.32,7.0,0.66,11.0,3.0,0.0,0.33,0.35,0.0,3.0,0.0,0.0,4.0,0.0,0.0
91,8476904,Chris Driedger,OTT,G,1,1372.0,0.43,0.0,15.0,0.44,0.0,2.3,1.0,9.55,10.0,0.32,0.0,4.4,2.0,6.1,10.0,0.43,13.0,1.0,0.0,0.35,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,8475660,Cam Talbot,NYR,G,36,125697.0,88.63,77.0,1956.0,72.07,58.0,244.24,293.0,1067.36,1038.0,35.0,36.0,598.66,511.0,443.64,505.0,85.92,1127.0,278.0,77.0,30.49,33.69,24.44,31.0,21.0,25.0,474.0,0.0,0.0
101,8471306,Thomas Greiss,PIT,G,20,69277.0,43.42,50.0,978.0,36.76,36.0,121.21,101.0,521.02,546.0,18.91,28.0,298.1,276.0,212.82,251.0,41.83,551.0,148.0,31.0,16.09,18.35,8.98,21.0,24.0,5.0,248.0,0.0,0.0
106,8468685,Henrik Lundqvist,NYR,G,46,164556.0,110.47,103.0,2524.0,88.39,81.0,305.79,296.0,1333.33,1329.0,42.15,37.0,747.23,622.0,560.82,699.0,106.01,1443.0,307.0,107.0,38.15,38.66,33.67,30.0,35.0,38.0,667.0,0.0,0.0
111,8471469,Pekka Rinne,NSH,G,64,231047.0,136.46,140.0,3397.0,116.82,109.0,413.89,520.0,1776.96,1807.0,64.33,78.0,997.1,772.0,751.22,875.0,132.7,1986.0,371.0,116.0,52.0,44.65,39.81,48.0,44.0,48.0,924.0,8.0,4.0
116,8473461,Steve Mason,PHI,G,51,173123.0,126.99,108.0,2765.0,99.35,117.0,343.8,412.0,1469.48,1490.0,43.91,36.0,797.66,596.0,607.06,751.0,122.89,1533.0,379.0,111.0,42.18,47.24,37.58,24.0,45.0,39.0,742.0,2.0,1.0
121,8474889,Martin Jones,L.A,G,15,46522.0,28.37,29.0,571.0,22.2,19.0,74.19,74.0,323.87,307.0,13.2,21.0,179.12,145.0,133.94,172.0,27.61,340.0,86.0,22.0,10.78,10.53,7.06,10.0,10.0,9.0,123.0,0.0,0.0
126,8471239,Cory Schneider,N.J,G,69,235436.0,166.23,148.0,3436.0,128.56,111.0,433.73,487.0,1914.2,1982.0,51.2,51.0,1055.58,787.0,788.75,1038.0,160.49,1978.0,516.0,140.0,56.67,62.75,46.8,48.0,57.0,43.0,802.0,0.0,0.0
131,8471251,Justin Peters,WSH,G,12,38819.0,28.19,35.0,597.0,21.44,21.0,69.32,54.0,307.82,294.0,10.62,12.0,171.97,149.0,128.21,163.0,27.3,318.0,86.0,25.0,8.62,9.96,9.61,10.0,14.0,11.0,168.0,0.0,0.0
136,8473541,Jonathan Bernier,TOR,G,58,190629.0,164.07,152.0,3277.0,121.71,110.0,411.66,475.0,1787.88,1735.0,48.45,61.0,1004.56,847.0,734.89,821.0,156.31,1883.0,460.0,153.0,53.16,54.7,56.21,57.0,49.0,46.0,781.0,0.0,0.0
141,8470645,Corey Crawford,CHI,G,57,198680.0,142.39,126.0,2891.0,109.57,122.0,358.28,336.0,1584.72,1661.0,57.13,58.0,871.3,665.0,653.23,888.0,137.08,1622.0,446.0,119.0,48.44,53.48,40.48,30.0,51.0,45.0,704.0,8.0,4.0
146,8476883,Andrei Vasilevskiy,T.B,G,16,51847.0,36.11,34.0,746.0,28.25,22.0,90.48,93.0,405.45,415.0,12.34,14.0,228.59,169.0,173.8,243.0,34.66,436.0,106.0,28.0,13.39,13.24,9.48,19.0,8.0,7.0,176.0,0.0,0.0
151,8474690,Kevin Poulin,NYI,G,1,3900.0,2.15,3.0,47.0,1.58,1.0,5.24,4.0,23.06,26.0,1.04,0.0,12.36,10.0,10.89,15.0,2.14,23.0,8.0,2.0,0.8,0.9,0.45,1.0,1.0,1.0,14.0,0.0,0.0
156,8473607,Michal Neuvirth,NYI,G,32,110985.0,94.68,92.0,1991.0,73.1,59.0,236.1,294.0,1055.0,1067.0,24.2,30.0,603.85,495.0,440.65,509.0,90.98,1112.0,288.0,83.0,33.38,34.08,27.22,36.0,32.0,24.0,508.0,0.0,0.0
161,8477092,Andrey Makarov,BUF,G,1,3600.0,3.29,3.0,68.0,2.77,1.0,8.33,11.0,37.46,36.0,0.7,1.0,22.7,18.0,15.69,19.0,3.24,42.0,10.0,2.0,1.48,1.18,0.63,2.0,1.0,0.0,14.0,0.0,0.0
166,8471734,Jonathan Quick,L.A,G,72,250807.0,163.61,156.0,3553.0,128.05,135.0,448.55,457.0,1945.81,1896.0,70.1,79.0,1078.7,886.0,807.52,991.0,157.64,2090.0,450.0,148.0,57.02,54.99,51.61,51.0,58.0,47.0,865.0,8.0,4.0
171,8473503,James Reimer,TOR,G,35,106013.0,90.85,93.0,1733.0,65.8,63.0,225.62,257.0,973.04,1001.0,26.87,35.0,534.79,412.0,396.43,486.0,86.93,960.0,295.0,90.0,28.02,34.79,28.05,33.0,35.0,25.0,388.0,2.0,1.0
176,8473434,Chad Johnson,NYI,G,19,63169.0,42.88,54.0,988.0,33.22,38.0,114.08,123.0,489.32,488.0,18.56,19.0,275.74,218.0,204.59,242.0,41.38,543.0,108.0,36.0,16.41,13.32,13.15,17.0,22.0,15.0,301.0,0.0,0.0
181,8471418,Anton Khudobin,CAR,G,34,114021.0,77.89,87.0,1673.0,61.11,70.0,206.2,199.0,903.78,875.0,32.15,20.0,496.26,396.0,373.41,464.0,74.62,922.0,261.0,61.0,27.71,31.78,18.41,25.0,41.0,21.0,429.0,0.0,0.0
186,8473972,Jonas Hiller,CGY,G,52,171053.0,121.04,113.0,2930.0,96.9,88.0,332.73,331.0,1458.56,1376.0,41.36,40.0,802.73,669.0,618.23,776.0,117.33,1523.0,399.0,96.0,43.46,47.64,29.93,40.0,42.0,31.0,912.0,0.0,0.0
191,8475717,Calvin Pickard,COL,G,16,53706.0,47.81,35.0,947.0,35.75,46.0,114.81,132.0,502.32,511.0,12.7,5.0,279.23,242.0,206.12,240.0,45.06,530.0,125.0,45.0,15.07,15.79,16.94,10.0,11.0,14.0,247.0,0.0,0.0
196,8470320,Cam Ward,CAR,G,51,180343.0,116.51,121.0,2611.0,92.82,102.0,331.96,283.0,1403.2,1351.0,49.65,57.0,782.96,658.0,585.63,736.0,113.08,1525.0,339.0,92.0,43.15,40.68,32.69,38.0,49.0,34.0,655.0,4.0,2.0
201,8470860,Jaroslav Halak,NYI,G,59,211797.0,146.76,144.0,3269.0,114.36,113.0,378.78,422.0,1667.9,1673.0,65.14,72.0,918.78,752.0,704.37,825.0,141.19,1769.0,414.0,136.0,50.72,49.41,46.63,56.0,45.0,43.0,950.0,2.0,1.0
206,8473553,Jeff Zatkoff,PIT,G,1,2205.0,1.59,1.0,35.0,1.14,1.0,4.36,6.0,18.64,17.0,0.49,0.0,10.92,4.0,8.38,13.0,1.57,19.0,8.0,0.0,0.65,0.94,0.0,0.0,1.0,0.0,8.0,0.0,0.0
211,8471750,Ben Bishop,T.B,G,62,209940.0,150.3,136.0,3074.0,115.88,119.0,360.62,406.0,1626.25,1620.0,55.71,51.0,921.69,784.0,665.9,793.0,142.59,1672.0,451.0,144.0,48.72,53.37,48.21,34.0,55.0,47.0,807.0,4.0,2.0
216,8474152,Scott Darling,CHI,G,14,49951.0,34.47,27.0,724.0,28.91,29.0,90.44,86.0,402.07,419.0,13.61,21.0,227.14,169.0,166.46,230.0,32.99,418.0,118.0,25.0,13.14,14.5,6.83,8.0,13.0,6.0,163.0,0.0,0.0
