,playerId,name,team,position,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
386,8477968,Alex Nedeljkovic,CAR,G,4,12979.0,8.66,11.0,170.0,6.32,9.0,20.64,18.0,91.63,97.0,3.98,0.0,51.18,31.0,39.19,58.0,8.39,90.0,31.0,8.0,2.64,3.45,2.57,3.0,4.0,4.0,41.0,0.0,0.0
391,8477361,Calvin Petersen,L.A,G,8,28642.0,27.29,21.0,483.0,19.23,30.0,63.81,74.0,278.25,270.0,7.95,9.0,154.58,126.0,109.99,130.0,26.18,269.0,90.0,27.0,8.09,10.99,8.21,5.0,10.0,6.0,97.0,0.0,0.0
396,8475717,Calvin Pickard,DET,G,3,9893.0,7.87,15.0,127.0,5.36,9.0,16.8,10.0,71.62,74.0,2.98,3.0,39.5,33.0,26.02,29.0,7.68,65.0,23.0,10.0,2.04,2.84,2.99,4.0,6.0,5.0,29.0,0.0,0.0
401,8477967,Thatcher Demko,VAN,G,27,91780.0,70.96,75.0,1490.0,54.67,60.0,173.69,190.0,767.56,804.0,24.76,23.0,432.51,328.0,313.43,392.0,68.31,787.0,213.0,72.0,23.89,25.87,21.2,23.0,28.0,24.0,418.0,0.0,0.0
406,8473575,Semyon Varlamov,NYI,G,45,150785.0,113.16,111.0,2567.0,88.1,95.0,302.74,261.0,1311.81,1277.0,37.9,44.0,752.65,574.0,549.27,757.0,108.77,1427.0,320.0,103.0,37.95,38.25,36.97,36.0,41.0,34.0,717.0,0.0,0.0
411,8470860,Jaroslav Halak,BOS,G,31,110001.0,82.32,74.0,1660.0,61.68,59.0,210.58,208.0,917.11,906.0,30.79,41.0,507.38,390.0,382.12,509.0,78.62,946.0,248.0,80.0,26.73,30.38,25.22,29.0,25.0,20.0,386.0,0.0,0.0
416,8473503,James Reimer,CAR,G,25,82703.0,65.96,61.0,1274.0,49.26,56.0,163.57,163.0,710.21,712.0,23.07,22.0,392.31,304.0,281.99,360.0,62.36,706.0,213.0,60.0,21.13,26.69,18.14,16.0,23.0,22.0,295.0,2.0,1.0
421,8480925,Pavel Francouz,COL,G,34,112433.0,77.01,77.0,1801.0,65.04,74.0,222.82,273.0,952.96,996.0,31.91,32.0,536.44,395.0,396.14,474.0,73.99,1041.0,215.0,74.0,28.22,26.83,21.96,27.0,29.0,21.0,471.0,2.0,1.0
1,8470147,Curtis McElhinney,T.B,G,12,43159.0,26.49,37.0,504.0,19.88,15.0,61.88,59.0,286.1,296.0,11.82,13.0,156.62,97.0,116.07,163.0,25.64,282.0,88.0,20.0,8.04,11.12,7.33,12.0,17.0,8.0,114.0,2.0,1.0
6,8473503,James Reimer,CAR,G,22,79866.0,52.62,59.0,1088.0,41.61,44.0,138.21,162.0,610.45,627.0,23.66,18.0,342.11,251.0,248.51,313.0,50.68,631.0,174.0,38.0,19.04,21.47,12.11,16.0,30.0,13.0,245.0,0.0,0.0
11,8477424,Juuse Saros,NSH,G,36,123082.0,91.15,78.0,1849.0,69.38,82.0,228.56,259.0,1009.04,1071.0,31.95,39.0,568.58,418.0,417.96,541.0,87.13,1076.0,255.0,77.0,31.99,31.31,27.85,24.0,29.0,25.0,441.0,2.0,1.0
16,8476945,Connor Hellebuyck,WPG,G,45,156169.0,131.25,112.0,2447.0,97.65,112.0,296.92,272.0,1335.46,1335.0,39.81,35.0,741.75,587.0,538.4,724.0,125.87,1282.0,435.0,132.0,38.44,52.86,39.96,28.0,50.0,34.0,598.0,0.0,0.0
21,8481001,Veini Vehvilainen,CBJ,G,1,640.0,0.13,1.0,6.0,0.18,0.0,0.73,1.0,3.94,4.0,0.07,0.0,1.64,0.0,2.23,3.0,0.13,5.0,0.0,0.0,0.13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26,8471227,Devan Dubnyk,COL,G,22,70942.0,48.89,63.0,1117.0,41.33,42.0,136.58,129.0,580.05,602.0,18.69,19.0,337.45,266.0,235.48,307.0,47.17,619.0,158.0,42.0,17.43,18.25,13.21,24.0,26.0,13.0,298.0,2.0,1.0
31,8479496,David Rittich,TOR,G,19,57946.0,42.93,46.0,856.0,32.88,34.0,108.91,101.0,479.03,463.0,15.29,16.0,265.65,211.0,197.37,251.0,41.25,478.0,152.0,33.0,13.68,17.97,11.28,17.0,16.0,13.0,193.0,0.0,0.0
36,8476434,John Gibson,ANA,G,35,121887.0,93.64,101.0,1924.0,72.24,90.0,235.32,240.0,1023.87,1043.0,30.57,21.0,585.28,461.0,420.37,505.0,90.76,1097.0,255.0,89.0,32.17,30.36,31.11,25.0,40.0,36.0,483.0,2.0,2.0
41,8476341,Anton Forsberg,OTT,G,8,26913.0,24.05,24.0,482.0,19.08,16.0,59.98,73.0,259.7,264.0,6.83,9.0,144.44,134.0,103.33,98.0,22.69,260.0,73.0,26.0,7.35,8.72,7.98,8.0,10.0,6.0,123.0,0.0,0.0
46,8477480,Eric Comrie,N.J,G,1,3600.0,3.08,3.0,59.0,2.77,4.0,7.99,5.0,35.42,33.0,1.26,4.0,21.57,16.0,13.47,22.0,2.94,37.0,10.0,3.0,1.14,1.23,0.71,2.0,0.0,1.0,9.0,0.0,0.0
51,8479394,Carter Hart,PHI,G,27,87394.0,70.75,89.0,1264.0,49.48,56.0,158.77,168.0,707.69,721.0,21.88,30.0,383.06,255.0,280.1,373.0,68.8,694.0,199.0,72.0,20.0,24.71,26.05,26.0,29.0,34.0,299.0,2.0,1.0
56,8478499,Adin Hill,ARI,G,19,60354.0,46.03,46.0,922.0,35.79,46.0,117.52,136.0,514.97,530.0,14.83,18.0,294.72,216.0,215.21,266.0,43.87,557.0,130.0,39.0,16.85,15.81,13.37,17.0,18.0,11.0,196.0,0.0,0.0
61,8479973,Stuart Skinner,EDM,G,1,3581.0,4.11,5.0,65.0,2.65,6.0,8.45,6.0,36.92,38.0,1.02,0.0,20.13,18.0,14.43,13.0,3.94,35.0,10.0,6.0,0.87,1.24,1.99,1.0,1.0,3.0,14.0,0.0,0.0
66,8475660,Cam Talbot,MIN,G,33,117687.0,83.82,86.0,1906.0,67.33,72.0,236.31,272.0,1011.75,1008.0,28.67,23.0,574.28,426.0,417.8,529.0,81.07,1118.0,221.0,73.0,31.37,26.59,25.86,33.0,30.0,23.0,494.0,0.0,0.0
71,8477967,Thatcher Demko,VAN,G,35,125212.0,105.78,99.0,2075.0,79.91,83.0,247.87,289.0,1120.12,1164.0,33.54,31.0,644.17,499.0,458.41,552.0,101.39,1148.0,327.0,99.0,34.26,39.39,32.12,33.0,34.0,32.0,501.0,0.0,0.0
76,8476444,Christopher Gibson,T.B,G,2,6778.0,3.76,5.0,72.0,2.56,1.0,8.34,7.0,37.6,40.0,1.96,2.0,20.26,15.0,14.91,21.0,3.73,32.0,17.0,2.0,0.77,2.24,0.76,1.0,3.0,1.0,21.0,0.0,0.0
81,8480382,Alexandar Georgiev,NYR,G,19,57260.0,36.83,44.0,885.0,32.31,22.0,111.95,109.0,472.65,465.0,14.86,22.0,273.37,210.0,199.79,260.0,35.75,537.0,101.0,32.0,14.18,12.2,10.45,14.0,15.0,15.0,215.0,0.0,0.0
86,8476899,Matt Murray,OTT,G,27,84251.0,63.09,79.0,1332.0,50.03,46.0,159.4,175.0,709.54,738.0,22.5,27.0,409.39,325.0,296.38,359.0,61.11,742.0,203.0,56.0,20.28,24.48,18.32,29.0,25.0,25.0,331.0,2.0,1.0
91,8471418,Anton Khudobin,DAL,G,32,107677.0,65.99,76.0,1525.0,53.65,45.0,185.62,183.0,803.85,800.0,28.5,42.0,457.5,372.0,344.77,436.0,64.51,898.0,190.0,47.0,25.64,22.75,17.59,28.0,26.0,22.0,390.0,2.0,1.0
96,8470880,Brian Elliott,PHI,G,30,96463.0,62.68,82.0,1302.0,49.53,55.0,164.58,183.0,722.4,738.0,27.53,38.0,404.56,255.0,299.0,396.0,61.13,757.0,187.0,60.0,20.62,22.49,19.57,31.0,28.0,23.0,298.0,0.0,0.0
101,8476904,Chris Driedger,FLA,G,23,81696.0,49.97,47.0,1144.0,42.82,46.0,146.74,144.0,637.19,637.0,23.08,31.0,361.16,303.0,268.43,322.0,48.66,688.0,165.0,37.0,19.37,20.1,10.5,18.0,22.0,7.0,254.0,0.0,0.0
106,8477361,Calvin Petersen,L.A,G,35,119840.0,93.92,97.0,1952.0,74.24,92.0,246.14,232.0,1069.88,1095.0,28.38,37.0,607.81,433.0,434.67,604.0,89.39,1154.0,236.0,101.0,33.52,28.61,31.78,35.0,35.0,27.0,461.0,0.0,0.0
111,8477465,Tristan Jarry,PIT,G,39,131118.0,88.24,100.0,1893.0,74.12,70.0,243.1,259.0,1055.13,1098.0,33.58,35.0,589.63,448.0,430.96,548.0,85.56,1123.0,249.0,88.0,29.8,31.24,27.21,34.0,34.0,32.0,433.0,8.0,4.0
116,8475789,Jack Campbell,TOR,G,22,77064.0,54.4,46.0,1091.0,42.35,32.0,129.67,165.0,583.07,585.0,21.69,13.0,334.22,262.0,236.37,298.0,52.47,570.0,207.0,39.0,18.06,24.89,11.45,15.0,21.0,10.0,275.0,0.0,0.0
121,8476509,Maxime Lagace,PIT,G,1,3600.0,2.0,0.0,44.0,1.68,2.0,6.04,6.0,27.09,29.0,0.59,0.0,14.71,12.0,11.73,15.0,1.9,31.0,4.0,2.0,0.83,0.56,0.61,0.0,0.0,0.0,7.0,0.0,0.0
126,8478492,Ilya Samsonov,WSH,G,19,65569.0,43.44,49.0,909.0,34.62,41.0,116.77,106.0,496.65,499.0,15.7,14.0,279.39,224.0,201.06,258.0,41.88,530.0,118.0,44.0,15.66,13.98,13.8,17.0,14.0,18.0,217.0,0.0,0.0
131,8475311,Darcy Kuemper,ARI,G,27,92797.0,65.78,66.0,1325.0,49.25,62.0,163.11,161.0,711.06,713.0,22.68,14.0,401.1,318.0,288.58,362.0,63.42,763.0,159.0,69.0,21.18,19.61,24.98,22.0,22.0,22.0,334.0,4.0,2.0
136,8479406,Filip Gustavsson,OTT,G,9,28294.0,18.11,17.0,486.0,17.4,12.0,59.02,58.0,253.71,254.0,6.23,7.0,150.03,121.0,111.97,150.0,17.73,300.0,53.0,12.0,8.09,6.76,3.26,3.0,10.0,4.0,121.0,0.0,0.0
141,8480045,Ukko-Pekka Luukkonen,BUF,G,4,13002.0,12.33,14.0,240.0,10.12,10.0,33.43,45.0,146.91,149.0,3.11,5.0,84.33,57.0,58.98,67.0,11.49,144.0,52.0,8.0,4.16,6.08,2.09,7.0,5.0,2.0,36.0,0.0,0.0
146,8478009,Ilya Sorokin,NYI,G,22,76307.0,48.5,46.0,1070.0,39.22,37.0,131.47,115.0,573.02,563.0,19.68,28.0,321.21,219.0,237.29,348.0,46.4,610.0,145.0,41.0,16.94,17.95,13.62,19.0,17.0,10.0,274.0,0.0,0.0
151,8471679,Carey Price,MTL,G,25,88725.0,63.54,65.0,1220.0,46.75,51.0,151.94,150.0,664.29,659.0,24.2,26.0,372.11,280.0,269.45,359.0,60.6,683.0,181.0,62.0,20.32,21.78,21.45,19.0,26.0,20.0,294.0,0.0,0.0
156,8474889,Martin Jones,S.J,G,34,112105.0,83.11,102.0,1830.0,69.64,72.0,231.27,200.0,994.16,980.0,29.58,39.0,566.2,465.0,405.69,522.0,80.28,1061.0,244.0,84.0,28.5,29.53,25.08,35.0,39.0,28.0,441.0,0.0,0.0
161,8478406,Mackenzie Blackwood,N.J,G,35,125437.0,97.45,106.0,1863.0,71.49,75.0,240.79,260.0,1050.47,1082.0,31.09,36.0,586.73,404.0,423.2,560.0,94.63,1081.0,283.0,90.0,31.21,34.52,31.71,34.0,35.0,37.0,409.0,0.0,0.0
166,8481031,Ivan Prosvetov,ARI,G,3,7801.0,4.93,9.0,113.0,3.8,2.0,11.6,12.0,52.44,51.0,2.12,0.0,31.59,25.0,22.35,27.0,4.83,52.0,21.0,3.0,1.83,2.33,0.77,4.0,4.0,1.0,37.0,0.0,0.0
171,8475920,Michael Houser,BUF,G,4,14582.0,9.45,14.0,222.0,8.59,6.0,27.51,29.0,121.76,141.0,3.36,5.0,74.4,54.0,51.28,65.0,9.26,139.0,30.0,6.0,3.96,3.74,1.75,9.0,3.0,2.0,47.0,0.0,0.0
176,8477405,Marcus Hogberg,OTT,G,14,38510.0,28.13,40.0,578.0,22.03,21.0,70.92,69.0,312.83,322.0,10.87,18.0,179.37,149.0,132.03,152.0,27.12,323.0,92.0,28.0,9.82,10.49,7.81,18.0,13.0,9.0,135.0,0.0,0.0
181,8471306,Thomas Greiss,DET,G,34,105309.0,73.32,79.0,1596.0,59.67,50.0,203.99,179.0,888.62,893.0,23.4,21.0,501.57,409.0,367.69,493.0,70.75,976.0,193.0,66.0,27.71,22.83,22.77,30.0,28.0,21.0,361.0,2.0,1.0
186,8477968,Alex Nedeljkovic,CAR,G,23,83522.0,53.6,44.0,1192.0,42.71,49.0,148.29,153.0,651.69,648.0,23.07,35.0,365.87,284.0,271.37,342.0,51.93,697.0,164.0,43.0,19.99,20.24,13.37,14.0,20.0,10.0,288.0,2.0,1.0
191,8475156,Mikko Koskinen,EDM,G,26,86259.0,65.82,76.0,1372.0,50.91,54.0,162.92,164.0,715.62,756.0,22.29,21.0,409.94,302.0,290.61,379.0,62.93,738.0,207.0,59.0,21.27,25.24,19.3,25.0,31.0,20.0,368.0,0.0,0.0
196,8476932,Anthony Stolarz,ANA,G,8,27868.0,17.49,17.0,387.0,14.94,20.0,52.66,47.0,220.33,230.0,6.36,4.0,125.79,101.0,91.81,115.0,16.98,240.0,54.0,16.0,6.67,6.7,4.11,9.0,6.0,2.0,77.0,0.0,0.0
201,8471734,Jonathan Quick,L.A,G,22,73129.0,52.23,58.0,1047.0,40.62,58.0,133.38,125.0,585.99,566.0,19.81,18.0,325.97,239.0,239.0,321.0,49.89,603.0,147.0,60.0,17.36,17.32,17.55,23.0,21.0,14.0,237.0,0.0,0.0
206,8476234,Keith Kinkaid,NYR,G,9,29153.0,18.45,21.0,391.0,14.22,13.0,50.21,59.0,208.99,205.0,6.87,6.0,115.79,94.0,85.55,94.0,17.75,219.0,53.0,19.0,6.4,6.28,5.77,5.0,9.0,7.0,100.0,0.0,0.0
211,8477293,Antti Raanta,ARI,G,12,40730.0,33.75,38.0,743.0,28.61,34.0,91.59,97.0,394.69,401.0,9.93,7.0,227.06,170.0,158.05,203.0,32.54,434.0,88.0,30.0,13.49,10.51,9.76,18.0,13.0,7.0,191.0,0.0,0.0
216,8471469,Pekka Rinne,NSH,G,24,78628.0,52.26,62.0,1151.0,43.16,36.0,139.39,174.0,619.84,664.0,20.73,26.0,352.8,270.0,256.72,300.0,50.89,655.0,171.0,38.0,18.37,20.95,12.94,23.0,24.0,15.0,287.0,0.0,0.0
221,8475852,Petr Mrazek,CAR,G,12,39059.0,30.14,23.0,538.0,20.63,32.0,70.2,60.0,308.08,298.0,12.24,10.0,161.9,128.0,122.19,164.0,28.88,285.0,98.0,32.0,9.08,11.98,9.08,4.0,11.0,8.0,123.0,0.0,0.0
226,8478024,Ville Husso,STL,G,17,55039.0,40.17,49.0,851.0,31.91,45.0,107.26,104.0,462.19,460.0,13.09,10.0,259.84,219.0,187.75,213.0,38.25,485.0,121.0,36.0,13.46,14.58,12.13,25.0,15.0,9.0,209.0,4.0,2.0
231,8473575,Semyon Varlamov,NYI,G,36,127016.0,74.69,72.0,1937.0,68.71,63.0,236.02,237.0,1008.5,1020.0,31.64,40.0,585.16,477.0,419.26,530.0,71.55,1139.0,229.0,49.0,31.03,27.76,15.9,27.0,30.0,15.0,520.0,2.0,1.0
236,8476876,Malcolm Subban,CHI,G,16,52877.0,39.65,47.0,818.0,31.33,33.0,102.56,86.0,446.32,471.0,11.43,15.0,252.5,203.0,184.03,241.0,37.64,466.0,125.0,34.0,13.61,15.64,10.4,14.0,18.0,15.0,193.0,0.0,0.0
241,8475883,Frederik Andersen,TOR,G,24,85216.0,65.25,70.0,1225.0,48.49,37.0,148.17,129.0,672.38,669.0,22.15,25.0,378.49,319.0,273.85,361.0,63.33,650.0,223.0,63.0,18.72,26.89,19.65,12.0,35.0,23.0,289.0,0.0,0.0
246,8476914,Joonas Korpisalo,CBJ,G,33,104854.0,82.18,96.0,1665.0,61.99,59.0,202.88,206.0,893.38,904.0,24.7,27.0,507.39,379.0,366.26,481.0,79.47,930.0,237.0,83.0,27.01,28.1,27.07,34.0,31.0,31.0,415.0,2.0,1.0
251,8475622,Carter Hutton,BUF,G,13,40483.0,30.79,39.0,572.0,23.01,24.0,74.12,71.0,331.09,341.0,9.96,10.0,184.79,128.0,134.86,182.0,29.76,340.0,84.0,34.0,8.86,10.54,11.38,13.0,15.0,11.0,114.0,0.0,0.0
256,8480112,Hunter Miska,COL,G,5,15588.0,9.17,18.0,203.0,7.64,10.0,25.67,22.0,106.47,111.0,4.42,8.0,60.5,42.0,41.41,52.0,8.91,111.0,32.0,5.0,3.38,4.02,1.77,8.0,7.0,3.0,55.0,0.0,0.0
261,8478916,Joey Daccord,OTT,G,8,24202.0,21.02,22.0,390.0,15.05,19.0,47.49,57.0,211.11,214.0,7.22,8.0,119.21,92.0,86.39,97.0,19.11,206.0,70.0,20.0,6.22,8.48,6.32,5.0,11.0,6.0,94.0,0.0,0.0
266,8481501,Artyom Zagidulin,CGY,G,1,1693.0,0.96,2.0,26.0,0.88,1.0,3.37,2.0,13.92,11.0,0.44,0.0,8.33,6.0,6.01,8.0,0.95,15.0,5.0,0.0,0.48,0.48,0.0,0.0,2.0,0.0,6.0,0.0,0.0
271,8476861,Oscar Dansk,VGK,G,1,3685.0,2.76,4.0,54.0,2.33,3.0,6.46,4.0,29.54,29.0,0.8,0.0,15.59,13.0,10.95,14.0,2.7,25.0,12.0,2.0,0.71,1.55,0.5,3.0,1.0,0.0,15.0,0.0,0.0
276,8475809,Scott Wedgewood,N.J,G,16,53282.0,41.46,46.0,764.0,30.23,34.0,99.81,139.0,432.03,458.0,11.74,16.0,239.86,167.0,169.88,210.0,40.02,454.0,129.0,34.0,14.36,15.5,11.6,18.0,17.0,11.0,147.0,0.0,0.0
281,8467950,Craig Anderson,WSH,G,4,10124.0,7.26,6.0,151.0,5.14,4.0,19.07,16.0,84.07,71.0,3.11,2.0,43.65,28.0,35.31,57.0,6.96,90.0,13.0,10.0,2.32,1.58,3.36,3.0,0.0,3.0,38.0,0.0,0.0
286,8476999,Linus Ullmark,BUF,G,20,67025.0,45.43,49.0,1030.0,37.77,44.0,128.85,143.0,545.77,591.0,16.08,19.0,318.8,250.0,224.05,310.0,44.02,662.0,116.0,37.0,19.18,14.66,11.6,16.0,20.0,13.0,215.0,0.0,0.0
291,8478039,Kaapo Kahkonen,MIN,G,24,84869.0,54.92,68.0,1293.0,47.0,49.0,161.96,174.0,689.01,692.0,20.34,23.0,395.69,290.0,283.14,356.0,53.53,768.0,151.0,46.0,21.83,18.45,14.65,32.0,24.0,12.0,328.0,2.0,1.0
296,8476883,Andrei Vasilevskiy,T.B,G,42,151416.0,111.23,93.0,2137.0,84.9,81.0,264.39,237.0,1195.4,1234.0,38.81,45.0,664.1,509.0,479.01,659.0,107.7,1188.0,367.0,88.0,35.17,45.18,30.88,26.0,48.0,19.0,494.0,0.0,0.0
301,8475215,Robin Lehner,VGK,G,19,68119.0,48.53,44.0,1033.0,37.37,47.0,120.36,84.0,531.78,505.0,21.39,13.0,284.45,232.0,216.28,303.0,46.71,539.0,133.0,52.0,15.34,17.37,15.82,16.0,10.0,18.0,309.0,0.0,0.0
306,8477180,Aaron Dell,N.J,G,7,19150.0,12.26,22.0,259.0,10.33,16.0,34.78,40.0,149.31,154.0,5.97,4.0,86.11,56.0,62.69,73.0,11.81,160.0,41.0,10.0,4.86,4.64,2.76,11.0,9.0,2.0,48.0,0.0,0.0
311,8474651,Braden Holtby,VAN,G,21,75629.0,65.58,77.0,1276.0,51.67,45.0,155.09,169.0,699.02,695.0,18.62,29.0,395.97,299.0,281.91,356.0,63.88,681.0,238.0,54.0,20.6,28.75,16.23,21.0,35.0,21.0,303.0,0.0,0.0
316,8476316,Laurent Brossoit,WPG,G,14,44647.0,30.07,30.0,663.0,25.08,27.0,81.37,87.0,355.54,368.0,12.04,10.0,203.92,164.0,146.79,177.0,28.84,371.0,106.0,22.0,11.48,12.55,6.04,13.0,12.0,5.0,164.0,0.0,0.0
321,8470594,Marc-Andre Fleury,VGK,G,36,128796.0,88.92,71.0,1859.0,68.06,96.0,227.15,159.0,973.05,989.0,35.94,29.0,536.69,439.0,392.78,557.0,85.23,999.0,251.0,95.0,29.09,30.91,28.92,20.0,30.0,21.0,514.0,2.0,1.0
326,8473541,Jonathan Bernier,DET,G,24,78387.0,65.92,65.0,1276.0,48.54,54.0,163.35,151.0,717.95,757.0,17.59,12.0,395.64,335.0,290.91,360.0,63.01,755.0,161.0,71.0,20.52,20.07,25.33,26.0,17.0,22.0,289.0,0.0,0.0
331,8482246,Alexei Melnichuk,S.J,G,3,7835.0,6.98,11.0,118.0,5.32,11.0,17.35,15.0,72.58,81.0,2.07,3.0,38.62,26.0,29.38,35.0,6.74,77.0,13.0,10.0,2.21,1.83,2.94,5.0,1.0,5.0,18.0,0.0,0.0
336,8478435,Dan Vladar,BOS,G,5,18004.0,15.06,17.0,254.0,10.82,7.0,33.03,27.0,150.25,149.0,5.01,6.0,81.28,70.0,60.02,78.0,14.63,151.0,39.0,15.0,4.17,4.84,6.05,2.0,5.0,10.0,49.0,0.0,0.0
341,8475683,Sergei Bobrovsky,FLA,G,31,108988.0,79.88,88.0,1526.0,60.09,85.0,199.29,225.0,862.65,933.0,31.5,41.0,477.74,337.0,352.58,428.0,76.74,893.0,230.0,76.0,25.58,28.56,25.73,25.0,33.0,30.0,327.0,0.0,0.0
346,8474593,Jacob Markstrom,CGY,G,43,149193.0,101.74,111.0,2089.0,77.75,60.0,258.07,307.0,1135.55,1161.0,40.58,66.0,636.49,480.0,468.18,585.0,98.71,1171.0,316.0,92.0,32.51,38.13,31.11,32.0,44.0,35.0,510.0,2.0,1.0
351,8477970,Vitek Vanecek,WSH,G,37,126929.0,87.72,95.0,1882.0,72.21,70.0,240.5,204.0,1041.79,1031.0,34.06,32.0,591.39,461.0,430.3,586.0,84.17,1129.0,246.0,81.0,30.84,29.4,27.47,36.0,34.0,25.0,426.0,0.0,0.0
356,8480373,Josef Korenar,S.J,G,10,29510.0,21.33,26.0,476.0,18.21,16.0,58.91,73.0,255.31,258.0,7.46,6.0,142.81,101.0,103.8,131.0,20.61,271.0,66.0,16.0,7.71,8.16,5.45,10.0,9.0,7.0,123.0,0.0,0.0
361,8479312,Alex Lyon,PHI,G,6,19449.0,16.52,18.0,294.0,10.91,7.0,35.8,43.0,163.41,169.0,5.13,6.0,90.54,61.0,68.09,94.0,16.16,168.0,42.0,17.0,4.96,5.4,6.16,6.0,6.0,6.0,67.0,0.0,0.0
366,8474636,Michael Hutchinson,TOR,G,8,25312.0,15.58,17.0,376.0,13.88,7.0,45.16,54.0,203.15,211.0,6.88,12.0,119.3,84.0,87.42,117.0,15.31,224.0,56.0,8.0,6.6,6.14,2.84,7.0,8.0,2.0,88.0,0.0,0.0
371,8468011,Ryan Miller,ANA,G,16,52255.0,37.92,51.0,773.0,30.41,43.0,100.22,106.0,423.93,432.0,11.93,14.0,242.15,173.0,173.89,209.0,36.44,441.0,122.0,36.0,13.28,14.32,10.32,22.0,17.0,12.0,174.0,0.0,0.0
376,8475831,Philipp Grubauer,COL,G,40,142008.0,82.24,77.0,1828.0,68.31,81.0,228.98,272.0,973.21,993.0,43.03,35.0,554.23,382.0,395.65,522.0,78.1,1044.0,231.0,87.0,27.29,27.3,27.64,30.0,27.0,20.0,466.0,0.0,0.0
381,8478007,Elvis Merzlikins,CBJ,G,28,89809.0,66.16,69.0,1434.0,52.45,62.0,182.71,167.0,780.56,825.0,22.52,21.0,440.62,338.0,322.15,427.0,64.27,858.0,176.0,56.0,25.11,21.54,19.51,29.0,17.0,23.0,344.0,0.0,0.0
386,8479193,Casey DeSmith,PIT,G,20,67939.0,50.2,48.0,931.0,37.0,51.0,118.57,120.0,521.7,544.0,16.74,15.0,284.02,190.0,207.2,290.0,48.09,505.0,153.0,56.0,14.38,18.34,17.48,13.0,17.0,18.0,217.0,0.0,0.0
391,8469608,Mike Smith,EDM,G,32,110793.0,85.42,71.0,1693.0,61.66,61.0,205.72,208.0,907.13,921.0,28.29,25.0,518.72,409.0,371.97,492.0,81.04,951.0,250.0,73.0,29.43,29.63,26.37,24.0,29.0,18.0,419.0,6.0,3.0
396,8480280,Jeremy Swayman,BOS,G,10,36103.0,20.65,15.0,521.0,18.26,16.0,63.41,77.0,271.44,271.0,9.68,13.0,156.39,118.0,113.61,143.0,20.14,308.0,59.0,14.0,8.75,7.11,4.79,6.0,5.0,4.0,140.0,0.0,0.0
401,8476412,Jordan Binnington,STL,G,42,146860.0,108.08,108.0,2203.0,81.8,105.0,285.12,281.0,1199.86,1198.0,35.34,29.0,671.48,499.0,475.24,644.0,104.23,1253.0,300.0,109.0,34.97,36.23,36.87,36.0,39.0,33.0,541.0,2.0,1.0
406,8480947,Kevin Lankinen,CHI,G,37,130489.0,94.71,109.0,2061.0,75.69,85.0,258.92,272.0,1112.63,1202.0,31.06,26.0,628.06,491.0,460.4,567.0,92.01,1198.0,272.0,85.0,33.68,32.45,28.57,39.0,31.0,39.0,506.0,2.0,1.0
411,8479288,Kasimir Kaskisuo,NSH,G,1,922.0,0.28,0.0,7.0,0.24,0.0,1.07,1.0,4.21,3.0,0.45,0.0,2.31,0.0,1.91,5.0,0.28,5.0,1.0,0.0,0.17,0.11,0.0,0.0,0.0,0.0,1.0,0.0,0.0
416,8480420,Collin Delia,CHI,G,6,20069.0,19.55,20.0,337.0,13.03,20.0,45.17,36.0,197.33,198.0,4.67,4.0,105.59,77.0,78.52,109.0,17.81,185.0,60.0,24.0,5.17,7.26,7.11,8.0,6.0,6.0,68.0,0.0,0.0
421,8474596,Jake Allen,MTL,G,29,100956.0,78.27,76.0,1484.0,57.19,54.0,183.19,206.0,803.25,818.0,26.5,23.0,453.8,333.0,322.23,423.0,75.04,795.0,252.0,74.0,23.39,30.33,24.55,21.0,33.0,22.0,363.0,2.0,1.0
426,8480313,Logan Thompson,VGK,G,1,495.0,0.14,0.0,5.0,0.15,0.0,0.55,0.0,2.39,2.0,0.14,0.0,1.11,0.0,0.99,3.0,0.14,2.0,1.0,0.0,0.04,0.09,0.0,0.0,0.0,0.0,2.0,0.0,0.0
431,8474682,Dustin Tokarski,BUF,G,13,43766.0,36.38,43.0,761.0,30.36,34.0,98.31,105.0,428.7,447.0,10.58,12.0,248.27,208.0,181.33,206.0,34.22,468.0,107.0,34.0,13.44,12.86,10.08,22.0,11.0,10.0,152.0,0.0,0.0
436,8475839,Louis Domingue,CGY,G,1,3462.0,1.55,3.0,40.0,1.49,2.0,5.23,10.0,22.44,23.0,0.92,2.0,13.28,5.0,9.76,12.0,1.55,25.0,6.0,1.0,0.68,0.56,0.32,0.0,2.0,1.0,8.0,0.0,0.0
441,8479979,Jake Oettinger,DAL,G,29,96235.0,58.24,63.0,1336.0,48.2,47.0,167.63,151.0,720.64,710.0,25.93,22.0,406.45,336.0,304.65,388.0,56.4,797.0,162.0,50.0,22.27,19.57,16.4,19.0,24.0,20.0,327.0,4.0,2.0
